Model,5-shot,10-shot,20%,Full
resnet18,27.16,33.95,80.76,92.98
resnet50,25.17,38.03,80.25,95.13
efficientnet_v2_s,26.16,31.07,81.24,93.04
ResNet18_Baseline,13.85,13.98,41.04,69.93
