Model,5-shot,10-shot,20%,Full
resnet18,59.94,77.88,90.81,96.58
resnet50,58.87,78.85,92.63,98.18
efficientnet_v2_s,54.06,74.89,94.23,98.18
ResNet18_Baseline,21.05,29.81,56.62,69.12
