Model,5-shot,10-shot,20%,Full
resnet18,54.50,61.27,83.35,93.23
resnet50,62.93,71.70,87.68,96.78
efficientnet_v2_s,47.17,53.83,83.91,96.45
ResNet18_Baseline,28.08,27.52,51.39,59.82
